 901  901  901  901 0 0 0 0 0 0 0
 830  901  909  909 901 0 0 0 0 0 0
 774  897  929  929 262 606 0 0 0 0 0
 723  885  926  926 142 585 105 0 0 0 0
 691  865  938  938 96 463 233 9 0 0 0
 647  836  940  940 76 381 283 27 0 0 0
 605  806  942  942 70 309 294 64 0 0 0
 581  788  933  933 63 266 273 93 0 0 0
 555  762  930  930 62 211 273 113 3 0 0
 532  725  934  934 51 194 260 122 6 0 0
 507  693  931  931 44 168 250 133 11 0 0
 489  659  928  928 44 145 234 144 15 0 0
 466  638  943  943 48 124 222 146 20 0 0
 447  610  927  927 46 110 202 149 27 0 0
 423  578  922  922 38 102 184 147 35 1 0
 403  556  927  927 30 102 177 132 41 4 0
 388  531  921  921 37 97 163 127 47 4 0
 378  513  918  918 41 84 149 127 50 4 0
 370  490  941  941 31 72 148 120 55 5 0
 353  466  934  934 22 68 138 117 57 7 0
 341  449  940  940 17 61 129 117 61 6 0
 326  424  937  937 24 55 114 114 64 7 0
 313  410  958  958 20 46 117 110 61 10 0
 303  390  967  967 14 51 104 105 64 12 0
 296  371  978  978 17 44 99 108 60 14 0
 284  359  979  979 20 34 99 98 63 18 0
 274  344  970  970 19 46 78 94 64 20 0
 269  336  953  953 17 38 79 89 63 23 0
 264  322  951  951 14 40 66 90 58 27 0
 257  314  950  950 11 34 66 88 58 28 0
 249  305  932  932 14 32 66 83 58 28 0
 243  296  899  899 13 27 63 86 54 30 0
 239  290  886  886 11 27 63 77 57 31 0
 231  280  894  894 9 26 66 72 54 32 1
 226  271  885  885 7 20 58 78 57 28 2
 224  263  917  917 5 20 49 81 54 31 2
 221  255  916  916 9 14 48 79 55 30 3
 217  250  936  936 5 23 39 73 65 25 3
 215  243  912  912 8 19 39 76 58 28 3
 210  242  907  907 9 17 42 67 61 26 6
 204  235  894  894 7 13 43 65 60 28 6
 199  231  897  897 3 20 37 67 58 26 6
 196  223  888  888 8 17 35 67 55 28 5
 194  218  908  908 6 10 41 60 57 29 5
 192  216  924  924 1 14 37 59 56 30 5
 187  212  928  928 3 16 36 55 57 28 7
 185  210  939  939 3 14 36 53 55 31 7
 182  206  936  936 5 10 36 52 56 26 10
 177  203  918  918 5 8 39 45 63 21 10
 174  199  909  909 7 7 39 44 59 23 11
 171  195  899  899 6 8 35 47 59 22 10
 169  191  869  869 1 10 34 45 56 26 10
 169  190  871  871 4 9 27 50 51 27 11
 168  188  866  866 5 13 23 49 48 31 10
 166  183  867  867 3 12 18 52 44 37 9
 163  182  870  870 3 7 23 50 43 37 9
 162  179  870  870 3 6 21 52 45 35 9
 162  173  866  866 1 10 18 48 47 36 9
 160  172  865  865 4 10 17 44 50 35 8
 159  171  884  884 5 6 24 40 47 37 8
 155  168  884  884 2 7 24 37 48 38 8
 153  166  889  889 3 4 22 38 44 42 8
 152  163  883  883 3 6 18 39 46 39 8
 149  162  879  879 2 7 19 31 54 36 8
 146  162  883  883 1 10 16 31 52 40 6
 146  158  872  872 3 6 20 27 54 38 6
 145  153  887  887 2 3 27 27 52 33 8
 143  153  896  896 0 4 24 30 46 36 10
 142  152  891  891 1 7 25 27 41 39 10
 140  151  892  892 3 5 23 26 42 40 9
 135  150  871  871 0 10 18 28 41 36 12
 134  149  865  865 2 14 15 25 41 35 13
 132  148  865  865 6 11 14 25 42 33 14
 131  147  876  876 7 8 17 21 43 33 14
 129  143  855  855 4 6 20 17 47 32 14
 125  141  853  853 3 8 17 22 43 31 14
 122  141  847  847 2 5 16 22 46 30 14
 119  141  830  830 1 4 18 21 43 30 15
 118  137  852  852 2 7 15 20 42 30 16
 118  135  874  874 4 9 15 18 39 31 16
 117  134  875  875 4 11 10 20 38 28 19
 116  133  868  868 4 10 9 19 38 28 20
 115  133  835  835 7 6 10 18 42 24 20
 113  133  813  813 8 6 7 21 38 28 18
 111  131  830  830 2 4 7 21 38 28 18
 108  126  819  819 4 2 8 21 37 28 18
 108  125  816  816 2 2 9 20 35 28 20
 108  125  829  829 2 1 9 19 36 28 19
 107  122  815  815 0 2 11 20 34 26 19
 106  119  808  808 0 5 7 21 33 28 18
 103  118  806  806 0 4 7 22 30 29 19
 103  115  816  816 2 1 12 15 31 31 18
 103  114  824  824 1 5 7 15 34 30 17
 100  113  824  824 2 3 6 18 32 29 18
 100  111  823  823 3 0 9 19 27 28 20
 100  110  828  828 3 3 7 17 27 30 19
 99  110  827  827 1 1 8 17 28 27 21
 97  108  827  827 1 3 5 19 26 24 24
 94  107  838  838 1 2 7 19 24 25 24
 94  105  832  832 1 2 6 18 25 23 25
 901  901  901  901 0 0 0 0 0 0 0
 828  901  892  892 901 0 0 0 0 0 0
 758  897  866  866 252 618 0 0 0 0 0
 700  884  863  863 135 623 76 0 0 0 0
 650  872  852  852 104 469 211 12 0 0 0
 611  843  856  856 84 365 275 32 0 0 0
 575  813  850  850 76 287 296 60 0 0 0
 541  788  828  828 69 241 283 88 3 0 0
 514  769  829  829 70 199 284 94 7 0 0
 484  732  812  812 53 193 248 116 12 0 0
 462  703  818  818 56 163 247 120 14 0 0
 441  680  825  825 68 136 223 131 20 0 0
 415  652  816  816 51 113 226 124 29 0 0
 398  615  835  835 44 111 194 130 35 0 0
 380  586  842  842 41 89 196 122 39 2 0
 363  562  847  847 52 74 172 125 44 3 0
 353  530  860  860 37 74 160 109 55 5 0
 341  501  858  858 29 55 154 111 58 8 0
 330  467  858  858 22 59 129 118 58 8 0
 322  451  851  851 23 59 122 104 63 12 0
 313  424  855  855 22 53 112 106 63 11 0
 306  403  862  862 20 52 94 112 64 12 0
 298  383  867  867 24 44 92 102 67 15 0
 289  375  857  857 19 32 100 103 64 15 0
 284  355  865  865 19 35 84 104 62 17 2
 279  347  869  869 13 34 84 102 61 18 2
 269  335  871  871 13 33 80 103 57 18 2
 261  331  880  880 17 31 75 98 59 20 2
 255  318  880  880 20 27 74 94 54 26 1
 248  309  863  863 11 33 62 99 54 25 1
 239  302  851  851 7 33 63 93 55 24 2
 233  296  838  838 11 30 62 83 61 26 1
 228  288  838  838 8 28 57 80 65 24 2
 223  281  842  842 15 22 53 72 71 24 2
 217  270  826  826 16 20 48 72 69 23 2
 213  262  809  809 12 17 45 75 64 26 3
 209  259  810  810 11 18 47 71 58 30 2
 204  252  804  804 6 20 41 70 60 29 3
 198  247  797  797 8 18 43 64 59 28 4
 195  240  817  817 10 19 39 66 56 27 3
 193  232  821  821 12 18 39 59 53 33 4
 188  229  820  820 9 15 42 53 55 32 4
 183  224  810  810 5 14 42 50 55 33 4
 182  220  792  792 7 16 35 46 61 31 4
 177  217  777  777 5 11 35 48 56 35 5
 176  213  780  780 4 15 30 46 57 36 4
 174  209  779  779 2 12 33 48 52 37 5
 171  205  804  804 5 12 30 48 49 38 6
 168  202  806  806 5 8 34 46 50 35 8
 166  198  805  805 3 11 33 44 49 37 5
 162  193  802  802 3 13 32 38 48 40 5
 159  190  808  808 5 11 29 38 44 45 5
 158  187  802  802 5 8 33 29 48 45 6
 158  185  798  798 2 10 28 34 44 44 7
 156  178  804  804 6 9 25 39 39 42 8
 155  173  803  803 3 8 22 41 42 38 9
 153  170  815  815 2 4 21 47 32 43 9
 145  168  800  800 1 7 20 45 36 41 8
 141  166  804  804 2 6 23 42 37 38 9
 141  164  797  797 4 7 22 36 40 35 12
 137  163  797  797 7 7 16 39 38 35 13
 136  160  805  805 6 6 21 34 40 32 12
 133  158  798  798 6 6 17 37 36 34 13
 132  154  788  788 6 8 13 36 33 36 14
 130  154  793  793 4 15 12 30 36 34 14
 128  152  790  790 4 8 13 34 37 30 16
 127  152  781  781 4 9 13 33 37 29 17
 127  150  775  775 5 10 11 28 43 29 16
 126  148  772  772 4 9 12 23 44 30 16
 124  148  774  774 6 8 10 25 41 30 16
 124  146  777  777 6 6 11 24 44 29 15
 122  145  753  753 5 4 12 22 43 31 15
 122  143  747  747 5 2 13 23 41 30 16
 120  141  756  756 5 2 15 23 37 33 15
 116  136  763  763 4 2 12 26 38 32 14
 116  135  758  758 2 5 13 23 39 28 16
 116  133  745  745 2 5 14 20 39 30 16
 114  131  752  752 3 5 15 22 33 30 17
 112  130  740  740 1 5 15 19 36 29 17
 112  129  749  749 0 9 13 19 34 29 17
 109  127  751  751 0 7 14 18 37 25 18
 107  124  758  758 2 6 11 21 33 28 18
 107  122  759  759 1 5 15 18 33 25 21
 106  122  765  765 2 5 12 16 38 24 20
 106  121  778  778 3 4 10 20 34 24 20
 106  121  775  775 3 2 8 24 33 23 20
 105  119  794  794 3 3 7 24 32 25 19
 104  117  779  779 4 0 9 23 30 26 19
 104  115  757  757 2 1 8 23 29 28 18
 104  114  751  751 1 1 8 22 29 29 18
 104  114  751  751 1 2 8 23 27 30 17
 103  113  763  763 1 3 9 22 25 32 16
 102  111  785  785 3 0 10 22 27 29 17
 101  109  784  784 3 1 12 25 20 30 17
 98  108  748  748 2 5 8 26 18 30 18
 98  107  777  777 2 3 10 25 19 29 18
 97  107  786  786 2 2 11 22 19 30 19
 95  106  782  782 0 4 14 16 20 30 19
 94  104  774  774 2 1 12 21 17 30 19
 93  102  768  768 1 4 11 18 18 30 19
 901  901  901  901 0 0 0 0 0 0 0
 832  901  914  914 901 0 0 0 0 0 0
 766  891  909  909 246 619 0 0 0 0 0
 725  875  911  911 126 602 100 0 0 0 0
 689  861  930  930 95 465 228 8 0 0 0
 649  842  939  939 70 374 282 31 0 0 0
 611  816  940  940 62 305 302 57 0 0 0
 576  781  936  936 62 252 298 82 3 0 0
 537  755  922  922 56 217 292 95 5 0 0
 509  717  905  905 69 182 262 117 10 0 0
 493  689  900  900 51 168 249 124 11 0 0
 470  658  880  880 56 143 230 133 18 0 0
 451  630  870  870 45 126 222 136 20 1 0
 435  609  879  879 38 105 209 143 25 1 0
 417  588  863  863 29 99 187 145 31 3 0
 396  566  845  845 38 82 170 152 33 3 0
 383  534  868  868 31 76 161 149 37 4 0
 371  513  866  866 30 72 141 150 41 5 0
 360  492  864  864 29 65 135 142 48 5 0
 346  471  875  875 24 66 131 135 48 7 0
 335  458  856  856 21 67 118 123 61 5 0
 322  441  855  855 25 62 116 119 60 4 0
 312  422  860  860 25 55 107 126 55 7 0
 303  407  863  863 25 50 100 122 58 9 0
 298  395  881  881 24 46 102 107 63 11 0
 290  384  870  870 30 41 96 100 66 12 1
 286  366  862  862 23 39 94 95 65 14 1
 279  355  879  879 22 36 85 89 71 16 1
 273  342  905  905 19 32 85 92 62 18 1
 264  330  897  897 15 34 77 91 61 21 0
 260  322  885  885 16 23 70 96 66 19 1
 249  311  864  864 21 18 72 92 64 18 2
 240  304  858  858 11 29 64 92 60 19 2
 232  293  860  860 10 29 59 91 58 22 3
 228  286  871  871 5 32 54 84 63 21 3
 225  280  862  862 14 30 50 76 66 21 3
 218  273  859  859 13 25 44 78 62 27 3
 215  269  847  847 11 22 47 72 62 26 3
 206  262  844  844 13 18 44 68 65 25 5
 201  258  865  865 13 24 34 67 63 28 4
 193  248  869  869 15 18 35 66 60 28 5
 188  238  875  875 12 19 39 55 62 28 5
 186  231  858  858 12 16 36 54 63 27 5
 181  223  852  852 12 5 44 48 62 30 6
 176  220  846  846 12 11 37 46 57 34 5
 172  216  863  863 6 10 37 39 62 35 5
 167  210  860  860 2 16 29 36 65 34 6
 165  205  862  862 6 13 27 39 57 36 7
 163  202  848  848 9 7 27 42 57 34 7
 162  197  840  840 3 8 23 39 63 30 8
 159  190  830  830 5 9 19 42 54 37 6
 156  186  815  815 4 9 21 37 56 35 7
 154  182  822  822 2 6 23 38 53 36 7
 152  177  821  821 2 7 20 39 48 39 7
 150  172  800  800 2 7 16 43 44 40 7
 150  170  815  815 5 3 20 37 48 38 8
 150  169  828  828 4 2 22 34 48 38 8
 145  165  832  832 3 4 21 38 44 36 9
 144  163  833  833 3 5 20 37 42 39 9
 142  163  858  858 5 7 15 39 37 40 11
 138  162  853  853 5 6 14 41 34 41 11
 137  160  865  865 4 7 15 36 37 40 10
 134  159  846  846 4 7 14 36 33 41 12
 134  157  840  840 3 7 13 35 32 41 13
 132  152  847  847 2 8 14 31 32 40 13
 131  148  841  841 2 7 15 30 34 37 13
 129  146  851  851 1 4 18 27 38 35 12
 127  143  861  861 2 4 17 26 35 36 14
 126  142  853  853 3 5 20 19 39 36 12
 123  140  859  859 4 7 15 18 39 35 15
 121  136  841  841 3 5 13 21 40 32 16
 119  134  838  838 2 6 10 23 40 31 16
 119  133  837  837 2 4 10 27 31 36 15
 117  132  830  830 2 4 10 28 31 30 19
 116  129  839  839 3 4 10 26 33 27 21
 116  125  826  826 0 2 10 24 36 27 20
 114  124  818  818 0 3 10 26 32 29 19
 112  123  826  826 1 1 9 27 32 29 19
 112  121  841  841 2 0 11 25 32 31 17
 112  120  838  838 2 2 9 25 36 26 18
 112  119  859  859 2 4 5 26 36 28 16
 112  119  868  868 3 3 6 23 35 33 14
 112  119  876  876 1 4 6 23 35 31 15
 112  116  864  864 1 3 6 21 38 30 16
 110  116  856  856 2 3 8 15 40 31 16
