 901  901  901  189 0 0 0 0 0 0 0
 891  901  906  183 189 0 0 0 0 0 0
 878  901  903  167 284 37 0 0 0 0 0
 868  901  908  186 337 77 0 0 0 0 0
 852  900  904  184 374 125 1 0 0 0 0
 842  899  907  184 389 172 2 0 0 0 0
 832  896  904  199 375 227 9 0 0 0 0
 822  895  903  181 372 266 14 0 0 0 0
 810  894  902  175 364 298 20 1 0 0 0
 800  893  905  171 359 318 34 1 0 0 0
 787  892  905  173 343 341 36 1 0 0 0
 776  888  897  173 334 346 50 1 0 0 0
 768  887  905  169 311 367 62 1 0 0 0
 757  884  908  198 308 366 76 1 0 0 0
 748  880  909  179 295 367 92 2 0 0 0
 738  879  903  174 279 376 103 3 0 0 0
 728  876  905  196 261 388 111 3 0 0 0
 717  872  915  190 257 389 116 6 0 0 0
 710  870  910  199 241 392 122 7 0 0 0
 701  870  902  165 228 385 140 7 0 0 0
 690  865  904  186 227 369 154 9 0 0 0
 686  862  907  194 218 360 170 10 0 0 0
 680  858  912  171 218 351 182 11 0 0 0
 676  853  916  173 205 352 187 12 0 0 0
 662  847  907  182 186 366 185 14 0 0 0
 656  846  909  165 173 372 184 17 0 0 0
 649  843  910  174 184 352 197 14 0 0 0
 644  836  924  194 171 356 208 12 0 0 0
 636  831  920  164 166 353 205 19 0 0 0
 630  827  917  185 151 345 217 20 0 0 0
 622  824  916  209 153 335 227 19 0 0 0
 615  819  919  160 150 325 230 26 0 0 0
 608  817  917  161 152 313 234 29 0 0 0
 605  815  928  180 150 303 243 30 0 0 0
 599  814  937  195 152 302 249 30 0 0 0
 592  811  939  187 142 300 249 34 0 0 0
 582  811  933  192 137 289 257 37 0 0 0
 577  810  934  187 137 287 254 38 0 0 0
 572  807  941  199 122 283 260 42 0 0 0
 563  802  934  188 113 282 268 40 0 0 0
 558  800  932  202 123 272 265 43 0 0 0
 555  796  932  187 123 264 270 45 0 0 0
 552  793  930  177 117 260 269 49 0 0 0
 550  789  934  213 109 260 271 47 0 0 0
 542  784  937  170 114 251 264 54 0 0 0
 539  780  934  168 108 250 259 59 0 0 0
 537  774  938  200 108 246 261 59 1 0 0
 534  767  933  197 108 243 258 63 1 0 0
 530  762  932  177 97 241 260 62 1 0 0
 526  760  923  167 101 238 253 68 2 0 0
 524  754  923  182 112 223 258 68 3 0 0
 521  753  921  167 110 216 255 75 3 0 0
 521  751  912  198 105 214 253 83 1 0 0
 515  748  908  189 106 217 243 85 1 0 0
 514  747  911  198 114 213 243 86 1 0 0
 507  743  900  195 106 211 245 88 2 0 0
 505  741  900  179 107 212 236 92 2 0 0
 501  740  899  192 100 217 237 92 1 0 0
 497  737  902  183 96 216 236 94 1 0 0
 493  735  897  212 101 210 229 101 1 0 0
 487  731  891  168 103 205 226 102 3 0 0
 484  730  891  159 107 196 228 103 2 0 0
 480  725  896  174 104 192 232 104 2 0 0
 475  721  902  168 102 184 234 106 3 0 0
 472  720  901  189 102 174 241 106 3 0 0
 468  715  897  159 95 178 236 107 4 0 0
 467  714  904  183 95 171 239 107 4 0 0
 464  707  906  172 97 164 241 110 3 0 0
 462  707  907  173 99 164 234 115 3 0 0
 458  706  909  165 99 164 231 115 2 0 0
 454  704  904  182 95 171 224 116 2 0 0
 449  702  911  180 93 164 229 116 3 0 0
 444  699  911  176 99 156 221 126 4 0 0
 444  697  907  183 97 159 217 125 4 0 0
 441  693  904  172 92 158 218 125 3 0 0
 440  690  908  174 93 150 221 125 5 0 0
 432  689  912  183 91 157 215 123 5 0 0
 430  687  916  179 86 154 216 125 5 0 0
 428  686  917  180 88 155 210 130 4 0 0
 425  683  920  179 89 150 209 133 4 0 0
 423  680  938  180 87 146 212 132 4 0 0
 420  677  940  193 80 144 207 138 3 0 0
 419  674  940  162 84 136 212 132 6 0 0
 416  671  940  177 81 138 203 140 5 0 0
 414  667  949  160 78 139 208 136 5 0 0
 414  666  951  197 78 137 201 141 6 0 0
 410  664  947  196 82 135 200 138 7 0 0
 407  661  944  185 77 137 187 147 7 0 0
 405  658  946  176 73 139 185 146 9 0 0
 401  654  948  207 77 132 177 154 9 0 0
 397  651  955  182 74 126 192 144 10 0 0
 392  650  954  192 70 125 189 149 9 0 0
 389  649  958  186 71 125 190 146 9 0 0
 385  647  958  158 71 129 187 141 11 0 0
 380  644  952  191 70 132 180 144 11 0 0
 376  643  946  178 73 128 173 144 16 0 0
 373  641  948  212 76 119 181 140 17 0 0
 370  639  957  172 79 118 177 146 13 0 0
 368  635  956  193 73 121 178 145 14 0 0
 365  634  958  184 78 117 178 146 13 0 0
 364  634  963  213 81 113 177 146 14 0 0
 359  633  952  163 74 119 173 145 16 0 0
 359  631  952  180 75 123 166 145 17 0 0
 357  631  955  193 80 116 169 144 16 0 0
 356  629  957  192 77 114 175 141 16 0 0
 355  628  953  193 76 113 175 141 17 0 0
 352  624  958  190 79 109 170 147 15 0 0
 350  622  969  210 78 108 166 148 15 0 0
 349  621  967  201 73 107 169 146 17 0 0
 347  617  965  159 74 106 160 146 22 0 0
 347  616  960  190 73 109 155 148 22 0 0
 344  616  951  193 74 105 157 147 23 0 0
 340  614  953  198 73 109 154 144 26 0 0
 340  609  948  176 70 111 150 142 29 0 0
 339  608  952  189 76 106 152 141 28 0 0
 337  605  959  182 73 109 150 139 29 0 0
 333  602  962  202 69 113 140 147 27 0 0
 333  599  964  184 71 112 135 145 31 0 0
 333  597  965  225 71 105 138 146 31 0 0
 330  595  955  187 78 97 135 152 28 0 0
 327  595  953  175 78 95 138 146 29 0 0
 326  595  949  188 79 91 138 147 30 0 0
 321  592  947  188 77 93 131 155 28 0 0
 318  590  942  186 76 91 135 153 28 0 0
 318  589  942  174 81 86 132 154 29 0 0
 318  589  948  186 74 86 134 153 29 0 0
 316  582  951  201 76 84 134 147 34 0 0
 313  580  940  165 76 81 139 143 34 0 0
 312  577  942  186 80 76 140 147 31 0 0
 310  576  941  198 81 78 135 145 35 0 0
 308  574  936  219 74 86 128 146 37 0 0
 304  573  943  179 74 82 132 145 36 0 0
 304  572  947  182 75 81 133 140 39 0 0
 304  570  952  196 76 78 138 137 39 0 0
 304  569  959  197 78 78 137 136 38 0 0
 302  567  964  201 74 82 127 143 38 0 0
 300  565  964  207 79 79 125 142 40 0 0
 299  563  961  181 74 86 119 142 40 0 0
 299  562  965  197 73 85 117 142 41 0 0
 297  561  966  171 67 84 123 137 42 0 0
 293  559  972  195 75 80 122 136 43 0 0
 290  556  965  196 71 78 116 143 42 0 0
 290  555  970  180 72 78 119 138 41 1 0
 289  552  955  201 73 79 118 134 46 0 0
 289  551  958  182 71 80 120 133 45 0 0
 287  551  951  183 71 77 122 134 44 0 0
 283  550  947  170 73 73 118 136 45 1 0
 282  547  947  190 70 79 115 137 44 1 0
 281  546  945  181 68 78 111 138 47 1 0
 279  544  943  182 74 73 109 146 42 1 0
 278  544  947  153 75 70 108 139 47 1 0
 278  543  954  181 74 68 111 137 48 1 0
 276  541  951  180 76 66 109 139 49 1 0
 273  539  949  171 75 68 108 139 49 1 0
 272  536  947  190 74 71 105 136 51 1 0
 270  535  943  190 73 68 109 134 51 1 0
 267  531  942  186 69 68 106 141 49 1 0
 267  530  942  161 67 73 101 142 49 1 0
 267  529  948  160 67 73 99 142 51 1 0
 267  527  959  196 69 72 96 145 49 1 0
 266  524  955  203 68 74 96 144 48 1 0
 265  522  965  194 69 74 93 141 51 1 0
 263  520  963  151 70 73 86 142 54 1 0
 262  520  966  174 70 73 92 135 55 1 0
 261  519  965  212 65 73 90 136 56 1 0
 260  513  965  202 70 65 96 130 58 1 0
 258  512  973  215 69 67 96 131 55 1 0
 257  510  960  182 68 69 94 130 57 1 0
 256  509  959  212 67 71 93 126 60 1 0
 254  507  955  181 68 69 96 124 60 1 0
 254  504  958  181 66 68 97 120 63 1 0
 254  502  957  180 66 69 97 118 63 1 0
 253  499  962  185 67 69 90 121 65 1 0
 253  498  960  191 68 64 93 121 65 1 0
 252  498  961  168 65 69 93 118 66 1 0
 251  496  962  195 61 69 97 115 66 1 0
 251  493  962  182 64 71 89 116 68 1 0
 251  492  964  190 65 70 92 112 70 1 0
 250  491  949  169 61 70 96 110 69 1 0
 249  491  955  210 58 67 100 107 70 1 0
 248  491  956  184 58 70 98 107 68 1 0
 248  489  968  182 57 71 93 111 68 1 0
 247  488  976  208 56 67 92 114 70 1 0
 246  486  975  195 53 70 91 110 73 1 0
 245  484  976  209 56 68 92 110 71 1 0
 244  479  969  188 57 66 93 109 73 1 0
 242  476  963  188 59 67 93 110 70 1 0
 242  474  968  197 57 67 92 111 69 1 0
 242  474  973  210 57 62 91 113 71 1 0
 241  472  977  193 56 67 92 109 69 1 0
 241  472  979  190 56 67 91 111 68 1 0
 241  472  984  177 54 64 92 109 71 2 0
 240  471  989  187 55 66 85 114 70 2 0
 239  470  985  183 56 64 86 113 70 2 0
 236  470  983  205 59 63 89 110 69 2 0
 234  467  977  181 57 62 88 111 67 3 0
 234  467  976  180 55 65 85 111 68 3 0
 234  467  978  208 53 63 87 111 68 3 0
 234  466  978  182 55 66 80 111 69 3 0
 233  464  983  175 54 70 76 113 68 3 0
 233  462  982  181 53 69 80 106 72 3 0
 233  461  984  188 54 68 80 109 68 4 0
 232  458  982  197 50 69 81 105 71 4 0
 231  458  978  176 51 66 82 104 72 4 0
 231  457  975  199 51 67 79 101 75 4 0
 230  455  986  170 50 72 73 102 75 4 0
 228  453  994  187 51 69 80 97 74 5 0
 227  452  991  189 49 68 80 98 74 5 0
 227  451  991  184 49 70 77 98 75 5 0
 227  450  1003  181 50 68 77 102 72 4 0
 226  448  995  188 54 63 84 96 72 5 0
 226  444  996  191 51 62 86 92 73 7 0
 226  444  998  210 46 65 85 91 75 7 0
 226  444  998  208 45 64 86 90 73 9 0
 224  444  1003  198 50 65 80 93 72 9 0
 224  443  1005  184 47 65 81 92 74 7 0
 224  442  1005  207 46 64 83 91 72 10 0
 222  442  1007  213 48 62 79 94 71 10 0
 221  442  1006  203 47 62 79 93 70 11 0
 220  441  998  183 46 63 79 93 70 10 0
 219  440  998  183 47 62 76 96 71 9 0
 219  437  994  192 46 63 75 94 72 9 0
 219  435  983  200 43 65 73 97 72 10 0
 219  435  997  181 42 64 75 97 71 10 0
 219  435  998  195 44 63 72 95 74 10 0
 219  434  998  200 45 64 72 94 73 10 0
 217  431  1003  189 43 64 73 95 71 11 0
 216  428  1000  201 42 64 74 92 74 10 0
 216  426  1009  192 42 64 76 91 72 11 0
 215  423  1013  200 42 68 74 90 69 13 0
 215  422  1001  197 43 69 71 90 71 11 0
 214  422  995  177 45 67 69 91 72 11 0
 210  420  998  197 46 65 70 90 72 12 0
 209  420  1001  208 43 64 74 88 71 13 0
 209  418  1003  207 44 64 72 85 73 14 0
 209  418  998  180 45 61 72 86 74 14 0
 209  418  1007  206 45 60 74 89 69 14 0
 208  417  1007  187 46 58 75 87 71 14 0
 208  416  1005  183 48 60 70 90 71 14 0
 207  416  1007  180 49 61 71 87 71 14 0
 207  416  1008  198 51 59 68 91 69 14 0
 206  416  1002  174 52 55 71 91 68 14 0
 206  415  1003  188 52 56 69 90 69 14 0
 205  415  1008  190 50 58 68 89 69 14 0
 205  413  998  190 49 60 68 83 75 12 0
 205  413  1001  197 49 58 66 82 73 16 0
 205  410  1009  189 48 59 64 84 72 16 0
 204  410  998  222 50 60 61 84 74 15 0
 203  407  996  178 48 63 62 85 69 16 0
 202  407  1000  185 49 61 63 85 70 14 0
 202  406  998  190 49 59 65 82 71 15 0
 201  406  993  163 47 60 64 80 71 16 0
 201  406  995  209 49 60 63 80 71 16 0
 200  406  992  170 45 61 64 82 70 15 0
 200  406  990  174 44 62 60 86 67 16 0
 200  406  995  199 45 61 61 83 70 15 0
 199  405  998  190 44 64 59 82 70 16 0
 198  404  1003  191 48 60 62 80 71 16 0
 198  403  1007  198 51 61 61 79 69 17 0
 196  403  1005  212 47 58 62 81 69 16 0
 195  402  1003  205 46 58 58 85 67 17 0
 191  402  992  196 53 50 60 85 66 17 0
 189  401  994  194 53 51 56 82 70 17 0
 186  401  989  182 50 53 58 76 74 16 0
 186  400  989  223 47 54 60 78 70 16 0
 186  400  995  205 46 56 57 77 72 17 0
 185  400  990  202 44 53 62 73 72 18 0
 185  399  991  185 49 50 59 75 72 17 0
 184  398  984  192 48 51 58 73 75 16 0
 184  398  974  197 45 53 55 78 71 17 0
 184  395  986  183 44 52 56 78 70 18 0
 184  395  988  206 46 51 59 74 71 17 0
 183  395  995  200 48 50 61 72 70 18 0
 183  394  998  208 43 53 60 71 69 19 0
 183  392  1000  209 44 50 62 70 69 19 0
 183  390  1007  204 41 54 57 75 67 19 0
 183  388  999  208 39 58 59 66 69 21 0
 183  386  1000  177 38 56 60 67 68 21 0
 183  386  1006  189 38 53 61 71 65 21 0
 181  385  1014  199 38 54 57 71 68 21 0
 179  385  1013  203 35 53 58 68 71 20 0
 178  383  1006  196 35 54 55 71 69 21 0
 178  383  1002  191 33 53 58 70 69 21 0
 178  382  1012  192 32 54 57 66 71 22 0
 177  381  1012  190 35 53 60 66 69 21 0
 177  380  1025  179 34 54 58 65 69 23 0
 176  379  1022  206 32 55 56 65 72 21 0
 175  379  1027  190 36 54 53 68 71 21 0
 174  378  1033  214 36 50 57 66 75 19 0
 174  376  1032  185 39 51 55 66 71 22 0
 174  376  1035  176 36 54 51 68 70 22 0
 174  376  1033  216 36 54 51 67 71 22 0
 174  375  1031  204 36 54 54 66 69 22 0
 173  373  1029  184 34 56 51 67 69 23 0
 173  373  1027  194 31 58 52 65 69 23 0
 173  373  1040  206 32 57 52 66 69 22 0
 173  373  1040  193 32 58 50 66 69 23 0
 173  372  1038  203 32 56 51 63 70 24 0
 173  371  1047  199 33 58 47 66 69 23 0
 173  371  1044  190 33 57 47 71 61 27 0
 173  369  1039  217 33 57 47 69 64 25 0
 173  369  1036  182 34 56 50 66 66 23 0
 172  369  1032  194 35 56 50 62 68 24 0
 172  369  1037  182 33 58 51 63 65 25 0
 171  368  1046  180 35 54 52 65 64 25 0
 170  368  1049  229 35 54 52 66 62 26 0
 170  367  1046  180 37 50 54 62 65 26 0
 170  365  1045  183 34 50 51 65 67 24 0
 170  364  1052  226 33 50 54 65 62 27 0
 170  361  1060  216 33 49 53 67 61 27 0
 170  361  1061  200 35 48 55 63 62 27 0
 169  359  1061  190 37 48 51 66 62 27 0
 168  358  1065  204 37 49 50 65 63 27 0
 168  358  1062  174 37 50 50 65 61 28 0
 168  357  1055  197 36 50 52 67 58 28 0
 166  357  1050  210 38 48 52 68 57 28 0
 166  356  1059  186 38 50 48 68 60 27 0
 166  356  1061  211 37 51 45 72 57 28 0
 166  354  1069  208 38 50 46 72 56 28 0
 165  354  1069  190 40 48 47 69 57 27 1
 165  354  1064  204 41 49 45 67 59 27 1
 165  352  1068  168 41 47 47 63 60 28 1
 164  351  1062  188 43 46 47 64 59 28 1
 164  350  1061  189 40 49 46 62 60 28 1
 164  350  1051  199 39 48 48 64 58 26 1
 164  350  1054  182 41 44 50 60 59 28 1
 164  345  1055  183 43 43 50 58 59 29 1
 164  345  1052  179 44 42 52 57 59 29 1
 163  345  1039  202 42 44 51 60 57 28 1
 163  345  1044  185 42 46 48 61 56 29 1
 162  345  1042  178 43 45 49 61 55 30 1
 162  345  1052  195 44 43 51 58 58 29 1
 162  344  1054  175 47 42 50 56 61 28 1
 162  344  1050  174 47 44 50 54 62 27 1
 162  344  1049  188 46 44 52 50 64 27 1
 162  344  1040  209 42 46 49 55 60 28 1
 161  343  1044  184 41 46 50 55 59 28 1
 161  343  1047  188 42 45 51 55 57 30 1
 160  343  1048  190 40 44 50 56 58 30 1
 159  343  1044  195 42 44 49 57 58 29 1
 159  342  1045  220 41 44 50 56 59 28 1
 159  340  1038  208 37 45 51 52 61 29 1
 159  340  1043  199 38 43 52 49 64 28 1
 159  339  1054  174 35 44 52 50 62 28 1
 159  339  1052  196 36 45 51 48 63 28 1
 159  339  1049  189 38 42 49 55 57 29 1
 159  338  1053  192 33 41 52 50 60 29 1
 159  334  1049  194 33 43 48 53 59 29 1
 159  334  1058  182 32 45 46 57 57 29 1
 158  333  1052  183 32 45 47 56 58 28 1
 158  331  1044  196 32 45 47 53 59 30 1
 158  331  1046  197 32 44 47 55 59 29 1
 157  331  1039  213 31 45 48 53 60 28 1
 157  330  1035  191 35 41 49 54 57 30 1
 156  330  1041  212 33 41 50 55 53 32 1
 154  330  1040  192 34 41 47 57 53 32 1
 153  330  1042  188 32 42 47 57 53 32 1
 152  330  1037  202 35 42 44 54 57 31 1
 151  330  1034  206 36 43 40 56 55 33 1
 149  330  1036  194 37 42 40 57 56 31 1
 149  329  1035  191 35 42 38 59 56 31 1
 148  328  1037  206 33 42 40 57 57 30 1
 148  328  1042  207 33 40 44 55 54 33 1
 148  327  1041  196 34 38 46 52 54 34 1
 148  327  1049  168 36 36 45 52 55 33 2
 148  327  1055  202 36 35 44 57 52 33 1
 148  327  1059  195 33 38 44 53 54 33 2
 148  327  1065  246 33 37 43 57 51 34 1
 148  325  1070  215 33 39 43 54 50 36 1
 148  324  1082  204 34 36 45 54 50 36 1
 148  324  1084  192 33 37 47 50 52 36 1
 148  323  1074  183 33 36 48 51 52 35 1
 148  323  1076  194 33 39 44 52 51 36 1
 148  322  1074  219 34 39 43 53 50 36 1
 147  322  1079  205 34 38 46 51 49 37 1
 147  322  1085  179 33 40 44 54 47 35 2
 147  321  1083  189 33 39 44 54 47 36 2
 147  318  1078  209 32 39 41 57 48 34 3
 147  318  1085  196 31 40 41 56 49 33 3
 146  318  1075  163 34 36 41 58 46 36 2
 144  318  1070  206 33 39 40 58 48 32 3
 143  318  1075  186 33 38 41 56 46 35 3
 143  318  1078  199 33 39 40 55 47 35 3
 143  318  1085  173 32 42 38 57 47 33 3
 143  318  1077  204 33 38 42 57 43 36 3
 143  318  1074  185 34 36 43 58 44 34 3
 143  316  1076  196 36 34 44 54 48 33 3
 143  313  1071  193 36 36 43 54 47 33 3
 143  313  1068  199 39 34 40 54 48 34 3
 143  313  1071  186 37 34 42 54 48 33 3
 143  312  1070  201 36 35 41 56 47 32 3
 143  312  1064  200 36 33 43 54 50 31 3
 143  312  1060  183 36 37 37 56 50 30 4
 143  311  1067  201 36 35 38 57 46 32 4
 143  310  1065  213 36 37 36 57 47 31 4
 143  309  1074  184 36 38 35 55 49 32 3
 142  309  1069  178 36 37 35 56 45 35 4
 142  309  1082  203 35 37 35 58 44 35 3
 142  309  1077  195 36 38 34 56 46 34 4
 142  309  1086  220 34 38 36 55 47 34 3
 141  309  1079  193 35 38 35 57 45 34 4
 141  309  1085  206 33 40 33 56 44 36 4
 140  307  1088  200 34 37 35 54 46 36 4
 140  306  1082  195 32 38 35 53 47 34 4
 140  305  1087  184 32 37 35 51 50 35 3
 140  304  1093  178 30 39 34 52 49 35 3
 140  304  1094  189 30 40 34 50 52 33 3
 140  303  1100  209 31 38 37 47 51 35 3
 140  303  1094  205 30 40 35 48 51 34 3
 140  302  1097  201 30 39 36 51 48 34 3
 140  301  1098  205 28 40 35 50 49 34 3
 140  301  1106  212 28 42 34 51 44 36 4
 140  300  1092  180 29 42 34 51 43 37 4
 140  300  1099  205 29 43 34 49 45 36 4
 140  300  1097  231 28 42 34 51 44 36 4
 140  300  1095  204 28 42 36 49 43 37 4
 140  300  1098  209 28 40 40 47 43 37 4
 139  300  1093  181 28 39 38 49 44 36 4
 138  300  1091  199 29 39 38 50 42 36 4
 138  300  1093  227 30 39 36 50 44 35 4
 136  300  1106  185 29 40 34 48 46 35 4
 136  299  1110  191 30 39 35 47 47 35 4
 136  297  1106  205 28 41 36 46 46 35 4
 135  296  1117  200 29 38 38 46 46 35 4
 135  294  1126  222 28 41 35 45 47 35 4
 135  294  1122  205 27 42 34 45 44 38 4
 135  294  1131  226 27 39 33 48 42 38 5
 135  294  1132  184 27 39 34 47 43 38 5
 134  294  1134  202 26 39 34 48 42 38 5
 134  294  1139  211 26 37 37 46 43 38 5
 134  293  1144  216 27 37 35 48 43 37 5
 133  290  1140  224 26 34 39 45 45 38 4
 132  290  1146  214 28 33 39 46 43 39 3
 132  290  1136  185 25 35 37 47 43 39 3
 132  289  1137  187 28 32 37 46 44 39 3
 131  289  1137  231 28 32 39 44 45 37 4
 131  288  1134  210 29 32 38 44 45 36 5
 131  287  1133  213 29 33 36 46 44 36 5
 131  287  1139  212 28 30 38 46 44 36 5
 131  287  1134  213 27 31 37 44 47 35 5
 131  285  1124  209 27 30 39 45 43 36 5
